,smiles,amount,price,lead_time
198,O=S(=O)(Nc1nccs1)c1ccc(NCc2ccccc2O)cc1,1,30.79,17.0
199,Nc1ccc(Oc2cccc(Cl)c2F)c(F)c1,1,22.93,31.0
200,Cc1cc(F)c(Br)cc1N,2,5.2,30.0
201,CC(C)Nc1ccc(F)cc1,3,13.26,20.0
202,Nc1c(F)cc(F)cc1Cl,3,5.53,20.0
203,N#Cc1cc(F)ccc1NN,3,64.35,30.0
204,Nc1ccc(Oc2ccc(Cl)c(Cl)c2)cc1,1,22.1,20.0
205,NNc1ccc(F)c(F)c1,4,7.8,30.0
206,O=C(Cc1cccs1)Nc1cc(NC(=O)Cc2cccs2)cc(C(=O)O)c1,2,37.16,17.0
207,Cc1cc(F)c(Cl)cc1N,2,12.16,20.0
208,COc1ccccc1Oc1ccc(N)cc1,1,14.3,30.0
209,Cc1c(C(=O)O)sc2cccc(Cl)c12,1,44.2,20.0
210,N#Cc1cc(N)cc(C(=O)O)c1,1,22.93,31.0
211,Nc1cc(F)ccc1[N+](=O)[O-],2,5.53,20.0
212,COc1c(N)ccc(F)c1Br,1,22.93,31.0
213,CNc1ccc(F)cc1N,2,26.0,11.0
214,Nc1cc(Br)c(F)cc1Cl,2,9.95,20.0
215,Nc1c(Br)cc(F)cc1Br,2,6.5,30.0
216,Nc1cc(Br)c(F)cc1C(=O)O,2,6.63,20.0
217,Nc1ccc(Oc2ccccc2Br)c(F)c1,2,78.0,11.0
218,CC(C)c1cc(F)cc(Br)c1N,4,26.0,30.0
219,CNc1ccc(F)cc1F,4,32.5,11.0
220,Cc1cc(N)ccc1F,2,5.53,20.0
221,Nc1ccc(F)c(Br)c1,4,5.53,20.0
222,COc1cc([N+](=O)[O-])c(N)cc1F,2,50.7,30.0
223,COc1c(F)ccc(N)c1F,1,22.93,31.0
224,N#Cc1cc(F)cc(Br)c1N,2,6.63,20.0
225,Nc1c(Br)cc(F)c(Cl)c1Br,2,22.06,11.1
226,N#Cc1c(Cl)c(F)cc(C(=O)O)c1Cl,1,13.52,24.0
227,Nc1c(O)cc(F)cc1Br,3,28.83,31.0
228,Cc1cc(F)c(C#N)cc1N,1,15.6,30.0
229,Nc1ccc(Oc2ccccc2Cl)cc1,1,11.05,34.0
230,O=C(O)CCCC(=O)Nc1cc(NC(=O)CCCC(=O)O)cc(C(=O)O)c1,1,30.79,17.0
231,Nc1cc(Br)c(F)c(C(F)(F)F)c1,2,9.95,20.0
232,CCOC(=O)c1cc(F)ccc1N,2,5.53,20.0
233,O=C(O)c1cc2c(F)cccc2s1,1,22.93,31.0
234,Nc1ccc(S(=O)(=O)[N-]c2nccs2)cc1,1,25.71,10.0
235,N#Cc1cccc(C(=O)O)c1,1,25.71,10.0
236,COc1ccc(C(=O)O)c(F)c1C#N,1,78.0,11.0
237,Cc1cc(F)ccc1N,3,6.83,21.0
238,Cc1cc(C#N)cc(C(=O)O)c1N,1,40.3,30.0
239,Nc1ccc(Oc2cc(F)cc(F)c2)c(Br)c1,1,22.93,31.0
240,O=C(O)c1sc2cccc(Br)c2c1Cl,1,26.0,26.0
241,Nc1cc(Br)c(F)c(Br)c1,2,17.68,20.0
242,Nc1ccc(F)cc1[N+](=O)[O-],3,11.99,14.4
243,Cc1ccccc1Oc1ccc(N)cc1C,1,32.05,20.0
